订单数量,供应商名称
18,益阳市赫山区广测电子有限公司
1,安庆槟果贸易有限公司
1,南京沃森乐器有限公司
2,杭州浩心电子商务有限公司
2,武汉蓝色林海博模型有限公司
3,上海锋拓商贸有限公司
1,常州水木源电子商务有限公司
4,深圳市宝安区西乡福泽五金配件商行
14,深圳市大鹏新区伟鹏电器修理店
9,深圳市百康科学仪器有限公司
9,深圳市贺腾达科技有限公司
27,深圳瑞真生物技术有限公司
16,深圳市满意科技有限公司
8,深圳市诺维奇科技有限公司
3,上海凡荷贸易有限公司
1,广州诚仪诺仪器有限公司
7,绵阳卓凡商贸有限公司
3,西格玛奥德里奇贸易有限公司
2,宿迁迪普瑞斯照明电器有限公司
2,深圳市如茂科技有限公司
1,凌源市博华玛瑙制品厂
1,邹平悦维新材料有限公司
8,深圳市联一达科技有限公司
3,深圳市晶格纳米科技有限公司
1,北京悠然逸森科技有限公司
9,湖南好护士医疗器械连锁经营有限公司
2,深圳市赛格电子市场特佳电子经营部
2,索雷博光电科技（科技）有限公司
1,袁雷博光电科技（上海）有限公司
1,深圳市全凯商贸有限公司
3,深圳市福田区金飞扬电脑经营部
1,深圳市允升吉电子有限公司
1,广东启诚铝业
1,古塔区康泰物资经销处
1,深圳市南山区铭龙电子经营部
8,深圳宜家家居有限公司
3,深圳市科瑞斯特电子有限公司
14,深圳市兰贝特科技有限公司
1,"LEICA 819窄刀片 50片/盒，80*8mm(长*宽)"
1,10MG
1,杭州长城机电市场晏平五金机电经营部
1,扬州奥起电子商务有限公司
1,台州藤原工具有限公司
1,苍南县龙港快发纸塑制品厂
1,江都区苏源教学仪器厂
1,北京乾铄有色金属制品有限公司
1,上海林毅贸易有限公司
4,北京立兴伟业科技有限公司
1,深圳山泽科技有限公司
1,上海起帆电子商务有限公司
6,广州敏腾生物科技有限责任公司
1,温州启禾文化用品有限公司
1,东莞市万江倍尔净水处理设备经营部
1,埃朗科技国际贸易有限公司
1,东莞市盈才五金电子有限公司
1,武汉海创电子股份有限公司
66,深圳市达科为生物技术股份有限公司
72,深圳市研顺世纪贸易有限公司
2,广州敏腾生物科技有限公司
14,上海蓝木化工有限公司
5,广州佩诺乔生物科技有限公司
86,广东省医学实验动物中心
138,上海优宁维生物科技股份有限公司
6,吉尔森精密仪器（深圳）有限公司
12,深圳市志胜化玻仪器有限公司
1,中国电子科技集团公司第55研究所
4,深圳纳芙威尔科技有限公司
4,深圳市福田区富隆盈科电子经营部
17,深圳市莱博威科技有限公司
31,深圳市博赛信科技有限公司
5,深圳市华科优选科技有限公司
1,深圳市五道体育用品行
8,深圳市华因诺科技有限公司
1,江苏浩宇教学设备有限公司
2,深圳市科维实验装备有限公司
11,深圳市新威尔电子有限公司
5,西格玛奥德里奇
1,上海科乃特激光科技有限公司
39,北京伊诺凯科技有限公司
9,深圳市正仪科技有限公司
1,深圳市英斯图科技有限公司
125,深圳市华特鹏特种气体有限公司
115,京东
1,广州绿骑客贸易有限公司
3,深圳市宝安区西乡鑫锦发铜铝材料行
1,义乌市安这贸易有限公司
1,上海册源贸易有限公司
119,淘宝
14,深圳市顺祥科学仪器有限公司
1,深圳市诚菲科技有限公司
1,江苏威拉里新材料科技有限公司
1,献县振中仪器设备销售处
3,深圳核桃村智能科技有限公司
1,创佳焊接材料有限公司
4,浙江力辰仪器科技有限公司
3,深圳市南山区神网电子商行
20,索雷博光电科技有限公司
2,深圳市何妨实业
3,上海楚光仪器技术有限公司
2,深圳市友田达实业有限公司
2,纳晶科技股份有限公司
2,常州天地人和生物科技有限公司
85,厦门京东东和贸易有限公司
2,中国科学院上海生命科学院
16,福州英菲迅光电科技有限公司
2,义乌市嘉胜五金商行
1,衡水昌隆医疗器械商贸有限公司
2,上海靖怡电子科技有限公司
3,麦迪康医疗用品贸易（上海）有限公司
3,台州市名科塑业有限公司
1,衡水众邦艾灸技术开发有限公司
1,珠海华盛科技有限公司
1,安徽良臣硅源材料有限公司
1,浙江亿力清洁电器有限公司
18,深圳市南山区顺兴源电子产品经营部
20,深圳市南山区创宝航电子通信经营部
2,青岛中石创鑫化工技术有限公司
2,深圳市新嘉兴装饰材料有限公司
2,天津精创科仪科技有限公司
9,深圳市迈韦科技有限公司
1,上海雷翼光电设备有限公司
6,上海大恒光学精密机械有限公司
11,深圳市深丰正机电有限公司
1,海宿乐工贸有限公司
1,新永鑫达灯饰五金店
1,深圳市宝安区新桥佳隆线缆经营部
1,康健源医学研究中心（广州）有限公司
1,广州市华俊医疗器械有限公司
1,上海卧宏贸易商行
30,北京全式金生物技术有限公司
1,北京北陆药业股份有限公司
2,东莞市智取精密仪器有限公司
7,深圳昂岳科技有限公司
32,深圳翻羽生物科技有限公司
8,昆山翼尔晟国际贸易有限公司
6,海门市春博生物实验器材厂
1,成都彼斯特生物科技有限公司
1,上海振誉五金经营部
2,清河县兴业金属材料有限公司
1,郑州艾特仪器设备有限公司
1,深圳市瑞祥天科技有限公司
4,上海迈瑞尔化学技术有限公司
5,深圳市南山区瑞泰莱电子经营部
1,南山区西部电子时代广场
1,迪可浓
5,南京大学-南京生物医药研究院
23,深圳市上为生物科技有限公司
105,英潍捷基（上海）贸易有限公司
1,欧瑞康美科表面技术（上海）有限公司
1,长沙岳麓区东成实验器材商行
1,广州如吉生物科技有限公司
2,怡康盛世
1,熠星安科技
1,智文
1,喜士多
3,乐豆
1,迈普瑞
1,长美
1,烟台欧朗商贸有限公司
1,微科
1,逍遥游
9,深圳市光波湖科技有限公司
3,北京海纳世纪科技有限公司
1,深圳麦斯艾姆科技有限公司
3,大恒光电
1,辐强深
10,无
1,深圳市帝能科技有限公司
1,艾力蒙塔贸易（上海）有限公司
1,湖南湘标新材料科技有限公司
4,北京力高泰科技有限公司
3,深圳菩提创新科技有限公司
5,深圳市瑞景生物科技有限公司
1,深圳市鑫广源科技贸易有限公司
11,广州市筠远红新材料科技有限公司
11,深圳市东方莱特电子有限公司
9,漳州市合琦靶材科技有限公司
1,深圳市法信机械科技有限公司
1,宿迁云丽电子商务有限公司
5,北京中教金源科技有限公司
40,深圳市百澳吉生物工程有限公司
1,深圳市博光电子有限公司
1,深圳市福田区赛格电子市场创金微电子商行
1,七星无虑电子经营部
6,深圳市芯艾科技有限公司
1,珠海阿密数码科技有限公司
1,深圳市嘉盛威科技有限公司
3,文晔领科商贸（深圳）有限公司
1,深圳市贝特科学仪器有限公司
15,深圳雷瑞生物科技有限公司
2,大连达硕信息技术有限公司
14,深圳华衡贸易有限公司
1,深圳市光明新区公明金通成量工量具商行
1,合肥日新高温技术有限公司
18,盐城市悦成贸易有限公司
1,深圳市怡华新电子有限公司
1,上海士丰生物制品有限公司
10,深圳市派奥德贸易有限公司
1,深圳市得贸电子有限公司
2,扬州晴天教学仪器厂
2,昆山翼而晟国际贸易有限公司
3,深圳市南山区前程似锦电脑经营部
30,深圳市智达源实验器材有限公司
2,烟台市素仁商贸有限公司
1,上海凯若仪器有限公司
2,上海热冰科技有限公司
2,无锡市普亚斯商贸有限公司
3,上海优宁维生物科技有限公司
76,广州赛哲科技有限公司
1,广州妮维诗纺织有限公司
6,北京维通达生物技术有限公司
1,深圳市科晶智达有限公司
25,深圳市科晶智达科技有限公司
2,广州福至医疗科技发展有限公司
1,东莞市寮步德智高五金工具店
1,深圳市南山区恒冠电子经营部
15,深圳市南山区崛创电子经营部
2,深圳市南山区新金川商贸行
1,开关管
1,德阳奥纳新材料有限公司
1,上海褚褚贸易有限公司
1,济宁轿巢汽车用品有限公司
2,海门市科普顺实验器材
1,海门市迈瑞普实验器材
1,杭州小由贸易有限公司
2,金华市方桌包装材料有限公司
24,深圳百安居装饰建材有限公司
1,上海环中文化用品有限公司
4,上海纳汇包装材料有限公司
7,深圳市化试科技有限公司
1,河南巨微能源科技有限公司
9,河南鱼齐玄商贸有限公司
4,东海县恒扬石英制品有限公司
1,上海傅偏电子设备科技中心
6,深圳市愉康大药房连锁有限公司
2,深圳市南山区水中泉饮用水商行
1,郑州磨料磨具磨削研究所有限公司
1,郑州市钻石精密制造有限公司
1,深圳市福田区君恒达微电子商行
2,深圳市南方风火轮科技有限公司
23,深圳市立创电子商务有限公司
1,北塘区徐妍电子产品商行
5,福康友成（深圳）有限公司
1,北京拓普光研科技发展有限公司
1,吴中经济开发区越溪思密达机械加工厂
1,深圳市富毅科技有限公司
4,深圳市云思桐仪器设备有限公司
1,深圳市和拓创新科技有限公司
2,深圳市南山区鹏兴电子器件经营部
1,深圳市奇正物流贸易有限公司
13,深圳市南山区采兴电子经营部
1,北京飞腾宇达科技有限公司
4,深圳市科创易科技有限公司
1,坚威旗舰店
1,卓越科技
1,开心猫商贸有限公司
1,爱立通电子科技有限公司
1,安冠龙机电有限公司
1,深圳市龙华新区百思通商店
1,深圳贺普曼贸易有限公司
1,上海予明仪器有限公司
1,昆山市福而顺电子材料经营部
1,深圳市新伟光电技术有限公司
4,深圳市百惠康科技有限公司
43,上海泰坦科技股份有限公司
38,上海阿拉丁生化科技股份有限公司
32,深圳辉诺电子有限公司
2,深圳畅联贸易有限公司
1,上海仁迈实业有限公司
1,天津市半导体技术研究所有限公司
1,上海三瀛体育用品有限公司
1,南京志承电子科技有限公司
3,慈溪市公牛电器有限公司
3,浙江福立分析仪器股份有限公司
1,深圳市龙岗区布吉铭科教学仪器商店
1,深圳市德瑞嘉电子有限公司
4,沃尔玛、华润万家、家乐福
1,广州市达德生物科技有限公司
4,深圳市劳伊特商贸中心
1,东莞市艺辉事业投资有限公司
2,北京汇力百通工贸有限公司
2,济宁国美贸易有限公司
2,深圳市博雅明威科技有限公司
1,武汉佰宏佰宏仪器有限公司
1,上海赣全实业有限公司
3,深圳市迪克曼科技开发有限公司
1,深圳市迪克曼科技有限公司
8,广州淳水生物科技有限公司
1,北京强欣博瑞生物科技技术有限公司
1,北京翰隆达科技发展公司
9,顺丰速运有限公司
1,无锡市凯天星光材料有限公司
2,深圳市居安思科技有限公司
1,上海洛辰数码科技有限公司
1,深圳市派尼克仪器设备有限公
1,爱米士电子（深圳）有限公司
1,深圳万德隆商贸有限公司
2,毓全实验室设备
1,三明市千指电子商务有限公司
10,深圳市德仕荣科技有限公司
1,深圳市高进利科技有限公司
1,台州市黄岩壕科电子元件厂
2,深圳市图灵人工智能黑科技有限公司
1,郑州力高科技有限公司
12,深圳市瑞沃德生命科技有限公司
1,汉恒生物工程（上海）有限公司
1,广州辉园苑医药科技有限公司
4,上海晅徉贸易有限公司
1,上海新协实业有限公司
1,深圳市米思生物科技有限公司
1,上海市南翔镇芬芸电子产品经营部
2,深圳华南湘城科技有限公司益阳分公司
2,深圳市君诚实业有限公司
3,telesky旗舰店
1,宁波锦霸机电实业有限公司
2,东莞市樟木头洁康电器经营部
1,深圳市欧德盛科技有限公司
1,广州市番禺区桥南街洪森电子配件店
11,合肥科晶材料技术有限公司
1,尤尼梅特科技河北有限公司
1,福州宇晶光电科技有限公司
1,武义县熟溪街道伍能不干胶
4,上海百舜生物科技有限公司
16,铂悦仪器（上海）有限公司
26,中诺新材（北京）科技有限公司
4,沈阳科晶自动化设备有限公司
1,昆山云讯贸易
13,深圳市标乐实业有限公司
1,金埃康科技（武汉）有限公司
1,深圳市富同咨询有限公司
8,石家庄岑冠科技有限公司
2,深圳市瀚翔医疗电子股份有限公司
1,云汉芯城（上海）互联网科技股份有限公司
1,深圳市副志科技有限公司
1,深圳彩染生物科
1,深圳市鑫宏顺五金有限公司
6,深圳市鑫诚富通实业有限公司
14,石家庄登度科技有限公司
1,深圳市南山区鑫永信戴尔电脑专卖店
1,深圳博思工业设备有限公司
3,上海百千生物科技有限公司
9,天津艾达恒晟科技发展有限公司
1,天津英科浩智科技有限公司
1,上海指韵电子科技有限公司
21,广州市迅益生物科技有限公司
1,广州凯天控制技术有限公司
2,深圳市南山赛格展星电脑经营部
5,深圳市南门子科技有限公司
32,江苏集萃药康生物科技有限公司
1,深圳市福田区新亚洲电子市场二期拓今电子经营部
9,深圳市锐和生物科技有限公司
11,北京五洲东方科技发展有限公司
2,苏州晶湛半导体有限公司
3,上海春暮园艺有限公司
15,宁波昰林半导体科技有限公司
1,北京鹏海腾达电子元器件经营部
1,广州泛宏贸易有限公司
1,深圳市鑫锐光子科技有限公司
7,深圳市南山区展合电脑经营部
5,深圳市南山赛格电子市场华越数码店
1,深圳市南山区羽士数码商行
1,深圳市南山区矩嘉隆电子产品展销部
2,深圳市南山区赛格文祥数码经营部
1,宜家家居
1,启因译康基因科技（北京）有限公司
1,深圳市南山区赛格电子市场华越数码店
1,济宁安升达机电设备有限公司
15,深圳市南山区达诚电子经营部
2,深圳市南山区博睿电子经营部
2,上海双傲电子科技有限公司
1,深圳市飞宇光纤系统有限公司
10,深圳瑞焱光子技术有限公司
1,上海索雷博光电科技
1,东莞市樟木头华创塑胶原料商行
1,广东省佳晖科技有限公司
6,宁波得力电子商务有限公司
4,东莞市信时包装材料有限公司
2,华特鹏
12,深圳华之源生物科技有限公司
2,杭州市江干区旭源百货店
6,长沙市岳麓区东成实验器材商行
1,海门市清源实验呢器材经营部
3,嘉善熙游五金商行
8,深圳市宝励贸易有限公司
26,深圳市优里生物科技有限公司
1,浙江天创信测通信科技有限公司
51,深圳市深特工业气体有限公司
3,深圳市麟望服饰有限公司
1,深圳市光明新区公明金达货架经营部
1,上海新百达制冷设备有限公司
2,上海妙进橡塑五金经营部
3,杭州科瑞电子有限公司
2,广州市赛远机器人有限公司
2,乐清市霍尔德成套电气店
2,深圳市雷安盾电子科技有限公司
2,上海易熔焊割设备制造有限公司
2,深圳市伯瑞特紧固件有限公司
29,山东维真生物科技有限公司
1,天创恒达数字视频技术开（北京）有限公司
44,明研生物（深圳）有限公司
2,上海缘江化工有限公司
1,苏州合仁源
1,上海傲澜贸易有限公司
1,广州锋伟生物科技有限公司
2,宁波江北甬旭橡胶有限公司
4,捷欧迪拓姆（上海）贸易有限公司
10,英维捷基（上海）贸易有限公司
2,微纳科研实验器材
2,深圳市安阳科技有限公司
3,郑州雅盛电子科技有限公司
1,罗微工业设计有限公司
11,广州昊超电子商务有限公司
2,深圳市昌达盛电子有限公司
1,广州粤港科艺仪器有限公司
3,深圳市南山区给力电脑维修中心
7,深圳市含生科技有限公司
7,上海碧云天生物技术有限公司
1,深圳市宝安区新安吉美电子经营部
1,广州京鸿实验室设备有限公司
3,杭州亮牛五金机电有限公司
2,北京贝儿易杰生物科技有限公司
2,义乌品诺进出口有限公司
35,深圳市博乐泰科技有限公司
2,广州威佳科技有限公司
11,广州皇河仪器科技有限公司
31,深圳市伯纳材料科技有限公司
1,深圳徇齐科技有限公司
1,深圳市中智创新科技有限公司
1,溧阳铭源仪器厂
26,深圳欣博盛生物科技有限公司
1,上海市普陀区弘盛办公用品商店
1,长富科技（北京）有限公司
2,合肥萨隆动力机械有限公司
1,宜兴市和桥镇洪钧光学仪器经营部
14,圣克鲁斯生物技术（上海）有限公司
10,星紫新材料技术开发有限公司
22,南京金斯瑞生物科技有限公司
2,北京鑫恒奥生物科技有限公司
1,深圳市坪山新区金丰润滑油商行
2,开封市嘉裕生物科技有限公司
2,高新区枫桥罗丹贸易商行
1,上海恭宝仪器贸易商行
1,深圳市龙岗区正兴隆五金行
2,上海时锡贸易有限公司
4,深圳市南山区鑫倚天电子经营部
1,易锐凯姆（北京）科技发展有限公司
1,武汉纽瑞德特种气体有限公司
1,南京-南京生物医药研究院
1,深圳市恒通精密仪器有限公司
2,天台蓝气球汽车用品有限公司
8,深圳市德瑞新能源科技有限责任公司
1,四川文轩在线电子商务有限公司，江苏圆周电子商务有限公司
2,上海競翀电子科技发展有限公司
3,连云港玥霖石英科技有限公司
1,宿迁硕居商贸有限公司
1,上海德计商贸有限公司
9,深圳市好质全实验室耗材有限公司
7,深圳市龙跃科学仪器有限公司
1,上海家化电子商务有限公司
1,福州市鼓楼区精测测绘仪器经营部
1,南京温欧商贸有限公司
1,海门市润吉实验器材经营部
7,深圳市凌达生物科技有限公司
1,上海速维生物科技有限公司
2,深圳众为兴技术股份有限公司
1,西安热默尔生物科技有限公司
1,北京欣熙源生物科技有限公司
1,东台市许河镇爱阳日杂商行
4,丫米实验办公专营店
1,上海亮朵实业有限公司
1,佛山市安振环保设备有限公司
1,清河县明轩金属材料购销处
1,兴化市万仁不锈钢
3,武汉市光米达科技有限公司
8,索雷博
1,天津塞尔群科技有限公司
1,苏州衍生生物科技有限公司
20,南京诺唯赞生物科技有限公司
1,广州南医大实验动物科技发展有限公司
3,深圳市瑞捷特科技有限公司
2,北京光盟光电科技有限公司
1,唐山众鑫缘电子商务有限公司
13,广州泽元贸易有限公司
9,深圳市宏峰建筑装饰工程有限公司
2,浙江卓廷建材有限公司
1,深圳市彩染生物科技有限公司
3,天津优品思创科技发展有限公司
1,广州奈澈化学科技有限公司
1,上海汇赚全商贸有限公司
2,丹阳市华诚土木工程仪器厂
2,江苏东华测试技术股份有限公司
1,金坛区儒林海峰土木工程仪器材料经营部
1,廊坊丰悦建材有限公司
1,北京安伍科技有限公司
2,杭州耐泽尔生物科技有限公司
1,广州应变片商城
3,深圳市宏观盛电线电缆有限公司
15,深圳市福田区赛格电子市场金硕源电子经营部
1,硕居家装建材专营店
1,汉顿
1,新越昌晖
1,好护士器械旗舰店
1,深圳市光林通宇科技有限公司
1,深圳市蓓佳爱商贸有限公司
4,佛山市南海大沥银亿汇石墨模具厂
1,深圳市金顿广营科技有限公司
1,东莞市晶鑫自动化科技有限公司
2,荥阳市等静压模具有限公司
14,京东自营
1,ergo旗舰店
1,金百泽电子科技股份有限公司
9,深圳赛格电子市场特佳电子经营部
1,广州瑞萌医疗器械有限公司
3,深圳市阿莫智能设备有限公司
2,深圳市昇润科技有限公司
1,东莞市御掌柜五金塑胶制品有限公司
15,得捷电子（上海）有限公司
5,北京科锐斯特材料技术有限公司
2,苏州精密机械有限公司
2,温州市格立森贸易有限公司
2,青岛艾瑞泽电子商务有限公司
1,南京群光电子科技有限公司
1,广州绿晶玻璃有限公司
4,中国科学院沈阳科学仪器股份有限公司
2,索雷博光电科技上海有限公司
15,深圳市浸会科技有限公司
3,一站工材（常州）互联网科技有限公司
4,上海埃彼化学试剂有限公司
3,上海公牛电器有限公司
9,益阳华南湘城科技有限公司
4,南京迅恒数码科技有限公司
1,高新区千言数码产品经营部
15,深圳市好佳实验室设备有限公司
1,得力
1,晶东
2,南京兴润生物技术有限公司
1,深圳诺瓦智能科技有限公司
3,佛山市阿涅贸易有限公司
1,北京融合立盛科技有限公司
2,深圳优胜生物技术有限公司
17,天津泰然唯锐科技有限公司
10,深圳市南山区赛格电子亿丰数码经营部
4,深圳市前海科硕生物技术有限公司
3,北京新兴百瑞技术有限公司
1,杭州利业科技有限公司
1,深圳市顶呱呱电子商务有限公司
1,苏州希杰贝尔静电科技有限公司
1,义乌市怀玲袜厂
1,安恒（文安县）电子商务有限公司
23,合肥元晶科技材料有限公司
6,深圳市智宇云科技有限公司
1,北京永邦广达商贸有限公司
2,最红电子
6,深圳六碳科技有限公司
1,上海直乐电子商务有限公司
31,江苏圆周电子商务有限公司广州分公司
1,上海诺迪信息科技有限公司
2,沈阳市艾特佳商贸有限责任公司
2,义务渺宇贸易有限公司
3,上海波前仪器设备销售中心
1,都江堰市欣华益橡胶制品经营部
6,武汉中科锐择光电科技有限公司
5,广州铱星光电科技有限公司
4,郑州英诺高科有限公司
1,天津英科联合科技有限公司
6,深圳君瑞汇科科技有限公司
1,古洛玻璃
3,深圳市恒怿达生物科技有限公司
4,宜家
3,百安居
8,武汉优光科技有限责任公司
4,北京康润诚业生物有限公司
1,深圳柏万森生物贸易有限公司
1,BD
5,广州优钡生物科技有限公司
3,深圳市研顺生物科技有限公司
1,吉尔森精密仪器（深圳）有现公司
9,深圳市展芯科技有限公司
2,Sigma
2,中国电子科技集团公司第五十五研究所
1,北京中元能环科技有限公司
1,深圳市新绿生物科技发展有限公司
2,深圳市欣海陵生物科技有限公司
1,永康市腾牧商贸有限公司
2,杭州五和五金机电有限公司
1,北京瑞利君利科技发展有限公司
1,上海派启自动化科技有限公司
1,深圳市恒安鸿源磁科技有限公司
2,泗洪辉腾医疗器械有限公司
1,江苏志威医疗器械有限公司
3,深圳市南山区旺洋机械配件行
1,北京汇通兴业科技有限公司
2,广州市讯益生物科技有限公司
1,深圳市励知科技有限公司
1,东莞市雷望精密五金有限公司
1,泰州奥凌电子科技有限公司
6,深圳市奥凌微波有限公司
3,深圳市其芯科技有限公司
27,深圳市恩科生物科技有限公司
2,台州佐欣电机有限公司
4,上海威洪实业中心
4,上海澳宏金属制品有限公司
2,深圳市运事佳贸易有限公司
1,深圳市赛格电子市场金得通经营部
4,宁波市北仑区小港馨标机械厂
2,乐清市柳州米邦电气厂
2,东莞市石龙正科电子经营部
2,平阳客米电子商务有限公司
2,杭州南廷五金机电有限公司
3,东台市五烈镇安鑫链轮厂
2,深圳市龙岗区龙岗宏发兴五金机电部
2,盐山豪锐五金机电销售处
1,兴化市奔强金属制品有限公司
1,龙华国税自助代开01-26
8,深圳市南山区汇三联美术用品店
1,小耳朵电子科技有限公司乐清分公司
1,深圳市松岗国家税务局代开十一
1,郑州泰远仪器设备有限公司
2,黑山县新立屯镇鑫德玛瑙商行
1,上海企文贸易有限公司
1,北京天资依美服装科技有限公司
2,福州陈师傅安全防护用品有限公司
2,长沙市岳麓区展望实验器材商行
1,上海耕造家具有限公司
17,江苏先丰纳米材料科技有限公司
2,睢宁县姚集镇诚磁五金经营部
4,天津艾维信化工科技有限公司
1,慈溪鑫智电子商务有限公司
1,东莞市南城聚安机电经营部
1,东莞市石碣永鑫机电经营部
4,深圳市南山区金海鑫电脑经营部
3,深圳市智龙电子信息科技有限公司
4,深圳市宇凌科技有限公司
1,深圳市盛参科技有限公司
1,昂氏(上海)电子贸易有限公司
1,北京谊和科技有限公司
3,深圳市中港大药房有限公司
2,登封市金冠商贸有限公司
1,深圳市晶亮铜业有限公司
1,深圳市光明新区公明雅胜劳保用品批发商行
2,乐清华起电气有限公司
2,义乌市霸捌包装材料有限公司
1,原深圳市宝安区国家税务局沙井税务分局代开六
1,兴化市祥鸿电子商务服务部
4,海门市大品实验器材经营部
2,睢宁县姚集镇康恒五金经营部
3,太原市杏花岭区蓝科电池销售部
1,长沙欣辉电子科技有限公司
5,海门市志达实验器材经营部
1,深圳市羊角砧科技有限公司
1,苏州高新区赛格电子市场格来兹电子电气商行
2,深圳市福田区泓易盛信电子经营部
1,深圳市龙岗区叁叄捌洗涤用品经营部
10,深圳市佰瑞特斯科技有限公司
1,佛山市鼓力五金贸易有限公司
3,昆山爱熊猫网络科技有限公司
1,高港区君利来教学设备经营部
6,上海义昌仪电市场经营管理有限公司
1,贰陆红外激光（苏州）有限公司
1,凯为光电
3,洛阳轴承研究所有限公司
3,西安百思达生物科技有限公司
2,深圳市伯茂机械配件有限公司
4,北京中金研新材料科技有限公司
3,深圳市信鹰科技有限公司
23,深圳鹏行医疗设备科技有限公司
32,深圳市博诚生物科技有限公司
24,博兴（深圳）生命科学有限公司
4,无锡智恩铝型材有限公司
43,京东商城
1,通胜宝业数码专营店
1,凯胜永恒科技
13,广州有田生物科技有限公司
2,四川巴蜀书社有限公司
2,芃硕生物
1,兰州奥力科精细化品技术有限公司
5,匠星光电
23,德安直扩生物技术（深圳）有限公司
2,北京虹湖联合化工产品有限公司
7,深圳市鑫威电子材料有限公司
2,深圳市民心大药房连锁有限公司
