订单总价,供应商名称
260565.85,深圳市研顺世纪贸易有限公司
13406,广州敏腾生物科技有限公司
53475.44,上海蓝木化工有限公司
39234,广州佩诺乔生物科技有限公司
402678.65,广东省医学实验动物中心
851279.12,上海优宁维生物科技股份有限公司
2647.26,吉尔森精密仪器（深圳）有限公司
82666.16,深圳市志胜化玻仪器有限公司
700,中国电子科技集团公司第55研究所
77292,深圳纳芙威尔科技有限公司
114620,深圳市福田区富隆盈科电子经营部
111938.44,深圳市莱博威科技有限公司
158374,深圳市博赛信科技有限公司
107703.52,深圳市华科优选科技有限公司
7623,深圳市五道体育用品行
164466.31,深圳市华因诺科技有限公司
141.2,江苏浩宇教学设备有限公司
14368,深圳市科维实验装备有限公司
86517,深圳市新威尔电子有限公司
11602.51,西格玛奥德里奇
5400,上海科乃特激光科技有限公司
103656.24,北京伊诺凯科技有限公司
57228.29,深圳市正仪科技有限公司
1188,深圳市英斯图科技有限公司
241070,深圳市华特鹏特种气体有限公司
84970.57,京东
219,广州绿骑客贸易有限公司
805,深圳市宝安区西乡鑫锦发铜铝材料行
93.75,义乌市安这贸易有限公司
50.6,上海册源贸易有限公司
133076.31,淘宝
110216,深圳市顺祥科学仪器有限公司
4818,深圳市诚菲科技有限公司
8960,江苏威拉里新材料科技有限公司
450,献县振中仪器设备销售处
448.8,深圳核桃村智能科技有限公司
250,创佳焊接材料有限公司
2174,浙江力辰仪器科技有限公司
12339,深圳市南山区神网电子商行
152638.58,索雷博光电科技有限公司
950,深圳市何妨实业
29228.5,上海楚光仪器技术有限公司
3200,深圳市友田达实业有限公司
21640,纳晶科技股份有限公司
3360,常州天地人和生物科技有限公司
52664.01,厦门京东东和贸易有限公司
31892,中国科学院上海生命科学院
32838,福州英菲迅光电科技有限公司
542,义乌市嘉胜五金商行
97,衡水昌隆医疗器械商贸有限公司
289.64,上海靖怡电子科技有限公司
1771.98,麦迪康医疗用品贸易（上海）有限公司
199.85,台州市名科塑业有限公司
122.5,衡水众邦艾灸技术开发有限公司
59,珠海华盛科技有限公司
588,安徽良臣硅源材料有限公司
109,浙江亿力清洁电器有限公司
44566.5,深圳市南山区顺兴源电子产品经营部
59102.1914,深圳市南山区创宝航电子通信经营部
3180,青岛中石创鑫化工技术有限公司
8286,深圳市新嘉兴装饰材料有限公司
2167.97,天津精创科仪科技有限公司
89492.95,深圳市迈韦科技有限公司
1469.79,上海雷翼光电设备有限公司
29000,上海大恒光学精密机械有限公司
161844,深圳市深丰正机电有限公司
136,海宿乐工贸有限公司
800,新永鑫达灯饰五金店
233,深圳市宝安区新桥佳隆线缆经营部
3723.8,康健源医学研究中心（广州）有限公司
150,广州市华俊医疗器械有限公司
201.2,上海卧宏贸易商行
133074.5,北京全式金生物技术有限公司
519,北京北陆药业股份有限公司
3455,东莞市智取精密仪器有限公司
44255,深圳昂岳科技有限公司
295176,深圳翻羽生物科技有限公司
3557.58,昆山翼尔晟国际贸易有限公司
5039.48,海门市春博生物实验器材厂
2225,成都彼斯特生物科技有限公司
1500,上海振誉五金经营部
512.4,清河县兴业金属材料有限公司
1550,郑州艾特仪器设备有限公司
1590,深圳市瑞祥天科技有限公司
832,上海迈瑞尔化学技术有限公司
19400,深圳市南山区瑞泰莱电子经营部
2920,南山区西部电子时代广场
50,迪可浓
76845,南京大学-南京生物医药研究院
260458,深圳市上为生物科技有限公司
703931.66,英潍捷基（上海）贸易有限公司
28780,欧瑞康美科表面技术（上海）有限公司
346,长沙岳麓区东成实验器材商行
2257.5,广州如吉生物科技有限公司
134,怡康盛世
75,熠星安科技
3584,智文
512,喜士多
695,乐豆
106,迈普瑞
56,长美
42,烟台欧朗商贸有限公司
156.4,微科
13.59,逍遥游
55500,深圳市光波湖科技有限公司
365.17,北京海纳世纪科技有限公司
470,深圳麦斯艾姆科技有限公司
12692,大恒光电
890,辐强深
35971.399992,无
768,深圳市帝能科技有限公司
2849,艾力蒙塔贸易（上海）有限公司
7964.15,湖南湘标新材料科技有限公司
14500,北京力高泰科技有限公司
2685.9,深圳菩提创新科技有限公司
43259,深圳市瑞景生物科技有限公司
9680,深圳市鑫广源科技贸易有限公司
8105,广州市筠远红新材料科技有限公司
12224,深圳市东方莱特电子有限公司
19800,漳州市合琦靶材科技有限公司
846,深圳市法信机械科技有限公司
438.96,宿迁云丽电子商务有限公司
33150,北京中教金源科技有限公司
220007.2,深圳市百澳吉生物工程有限公司
7568,深圳市博光电子有限公司
706,深圳市福田区赛格电子市场创金微电子商行
245,七星无虑电子经营部
58598.04,深圳市芯艾科技有限公司
723.1,珠海阿密数码科技有限公司
3551.1,深圳市嘉盛威科技有限公司
79817.94,文晔领科商贸（深圳）有限公司
1050,深圳市贝特科学仪器有限公司
127249.01,深圳雷瑞生物科技有限公司
10500,大连达硕信息技术有限公司
97293.1,深圳华衡贸易有限公司
8999.8,深圳市光明新区公明金通成量工量具商行
50,合肥日新高温技术有限公司
7985.87,盐城市悦成贸易有限公司
420,深圳市怡华新电子有限公司
6180,上海士丰生物制品有限公司
33618.6,深圳市派奥德贸易有限公司
4699.08,深圳市得贸电子有限公司
131,扬州晴天教学仪器厂
2030,昆山翼而晟国际贸易有限公司
8410,深圳市南山区前程似锦电脑经营部
152600.205445,深圳市智达源实验器材有限公司
523.9,烟台市素仁商贸有限公司
5800,上海凯若仪器有限公司
6800,上海热冰科技有限公司
357.6,无锡市普亚斯商贸有限公司
8300,上海优宁维生物科技有限公司
356624.14,广州赛哲科技有限公司
29620,广州妮维诗纺织有限公司
54048.6,北京维通达生物技术有限公司
1560,深圳市科晶智达有限公司
52153.02,深圳市科晶智达科技有限公司
40298,广州福至医疗科技发展有限公司
4551,东莞市寮步德智高五金工具店
1150,深圳市南山区恒冠电子经营部
90601,深圳市南山区崛创电子经营部
11270,深圳市南山区新金川商贸行
1850,开关管
1200,德阳奥纳新材料有限公司
80,上海褚褚贸易有限公司
85,济宁轿巢汽车用品有限公司
433,海门市科普顺实验器材
183.4,海门市迈瑞普实验器材
49.8,杭州小由贸易有限公司
284.9,金华市方桌包装材料有限公司
12890.2,深圳百安居装饰建材有限公司
36.4,上海环中文化用品有限公司
212.32,上海纳汇包装材料有限公司
14215.1,深圳市化试科技有限公司
4800,河南巨微能源科技有限公司
21780,河南鱼齐玄商贸有限公司
4025.01,东海县恒扬石英制品有限公司
1175,上海傅偏电子设备科技中心
8041.74,深圳市愉康大药房连锁有限公司
3391,深圳市南山区水中泉饮用水商行
350,郑州磨料磨具磨削研究所有限公司
371.2,郑州市钻石精密制造有限公司
3508,深圳市福田区君恒达微电子商行
3330.02,深圳市南方风火轮科技有限公司
9417.235,深圳市立创电子商务有限公司
2860,北塘区徐妍电子产品商行
15167,福康友成（深圳）有限公司
18350,北京拓普光研科技发展有限公司
3550,吴中经济开发区越溪思密达机械加工厂
22882,深圳市富毅科技有限公司
29050,深圳市云思桐仪器设备有限公司
25140,深圳市和拓创新科技有限公司
5272,深圳市南山区鹏兴电子器件经营部
8610,深圳市奇正物流贸易有限公司
25281.966,深圳市南山区采兴电子经营部
3650,北京飞腾宇达科技有限公司
29360,深圳市科创易科技有限公司
31.3,坚威旗舰店
48,卓越科技
50.19,开心猫商贸有限公司
86.41,爱立通电子科技有限公司
660,安冠龙机电有限公司
9805,深圳市龙华新区百思通商店
9885,深圳贺普曼贸易有限公司
790,上海予明仪器有限公司
242.2,昆山市福而顺电子材料经营部
2018,深圳市新伟光电技术有限公司
74963.53,深圳市百惠康科技有限公司
80541.35,上海泰坦科技股份有限公司
20402.14,上海阿拉丁生化科技股份有限公司
199294.7,深圳辉诺电子有限公司
328.9,深圳畅联贸易有限公司
869,上海仁迈实业有限公司
24375,天津市半导体技术研究所有限公司
106,上海三瀛体育用品有限公司
864,南京志承电子科技有限公司
1898.68,慈溪市公牛电器有限公司
3080,浙江福立分析仪器股份有限公司
9915,深圳市龙岗区布吉铭科教学仪器商店
1870,深圳市德瑞嘉电子有限公司
1369.59,沃尔玛、华润万家、家乐福
6821,广州市达德生物科技有限公司
39721,深圳市劳伊特商贸中心
66.94,东莞市艺辉事业投资有限公司
2147,北京汇力百通工贸有限公司
2015,济宁国美贸易有限公司
257,深圳市博雅明威科技有限公司
1260,武汉佰宏佰宏仪器有限公司
170,上海赣全实业有限公司
10600,深圳市迪克曼科技开发有限公司
132,深圳市迪克曼科技有限公司
80278.6,广州淳水生物科技有限公司
390,北京强欣博瑞生物科技技术有限公司
392.04,北京翰隆达科技发展公司
637,顺丰速运有限公司
3500,无锡市凯天星光材料有限公司
334,深圳市居安思科技有限公司
680,上海洛辰数码科技有限公司
1500,深圳市派尼克仪器设备有限公
896,爱米士电子（深圳）有限公司
789,深圳万德隆商贸有限公司
13600,毓全实验室设备
85.8,三明市千指电子商务有限公司
145982,深圳市德仕荣科技有限公司
2600,深圳市高进利科技有限公司
376.65,台州市黄岩壕科电子元件厂
1085.1,深圳市图灵人工智能黑科技有限公司
99,郑州力高科技有限公司
33472.59,深圳市瑞沃德生命科技有限公司
4380,汉恒生物工程（上海）有限公司
3000,广州辉园苑医药科技有限公司
701.41,上海晅徉贸易有限公司
297,上海新协实业有限公司
15190,深圳市米思生物科技有限公司
140,上海市南翔镇芬芸电子产品经营部
2091.03,深圳华南湘城科技有限公司益阳分公司
733.02,深圳市君诚实业有限公司
304.24,telesky旗舰店
871.2,宁波锦霸机电实业有限公司
2898,东莞市樟木头洁康电器经营部
2677.16,深圳市欧德盛科技有限公司
1100,广州市番禺区桥南街洪森电子配件店
29987,合肥科晶材料技术有限公司
1805,尤尼梅特科技河北有限公司
3800,福州宇晶光电科技有限公司
80,武义县熟溪街道伍能不干胶
1927,上海百舜生物科技有限公司
324453,铂悦仪器（上海）有限公司
195073.68,中诺新材（北京）科技有限公司
7808.5,沈阳科晶自动化设备有限公司
489,昆山云讯贸易
50965.1,深圳市标乐实业有限公司
300,金埃康科技（武汉）有限公司
3076,深圳市富同咨询有限公司
38840,石家庄岑冠科技有限公司
3699.96,深圳市瀚翔医疗电子股份有限公司
2300,云汉芯城（上海）互联网科技股份有限公司
22900,深圳市副志科技有限公司
4486,深圳彩染生物科
750,深圳市鑫宏顺五金有限公司
31280,深圳市鑫诚富通实业有限公司
60215,石家庄登度科技有限公司
2105,深圳市南山区鑫永信戴尔电脑专卖店
211.19,深圳博思工业设备有限公司
7328,上海百千生物科技有限公司
26369.18,天津艾达恒晟科技发展有限公司
970,天津英科浩智科技有限公司
628,上海指韵电子科技有限公司
128768.54,广州市迅益生物科技有限公司
9640,广州凯天控制技术有限公司
9934,深圳市南山赛格展星电脑经营部
650.25,深圳市南门子科技有限公司
293548,江苏集萃药康生物科技有限公司
520,深圳市福田区新亚洲电子市场二期拓今电子经营部
94592.82,深圳市锐和生物科技有限公司
43960,北京五洲东方科技发展有限公司
57224,苏州晶湛半导体有限公司
1267.64,上海春暮园艺有限公司
56240.12,宁波昰林半导体科技有限公司
5500,北京鹏海腾达电子元器件经营部
530,广州泛宏贸易有限公司
545,深圳市鑫锐光子科技有限公司
14924,深圳市南山区展合电脑经营部
9492,深圳市南山赛格电子市场华越数码店
2940,深圳市南山区羽士数码商行
2920,深圳市南山区矩嘉隆电子产品展销部
4300,深圳市南山区赛格文祥数码经营部
149,宜家家居
4200,启因译康基因科技（北京）有限公司
1100,深圳市南山区赛格电子市场华越数码店
52.02,济宁安升达机电设备有限公司
34889.19,深圳市南山区达诚电子经营部
5970,深圳市南山区博睿电子经营部
1883,上海双傲电子科技有限公司
2280,深圳市飞宇光纤系统有限公司
215000,深圳瑞焱光子技术有限公司
133.38,上海索雷博光电科技
1076,东莞市樟木头华创塑胶原料商行
8151,广东省佳晖科技有限公司
1302.75,宁波得力电子商务有限公司
243.9,东莞市信时包装材料有限公司
2300,华特鹏
78638,深圳华之源生物科技有限公司
230,杭州市江干区旭源百货店
1086.65,长沙市岳麓区东成实验器材商行
191,海门市清源实验呢器材经营部
1722,嘉善熙游五金商行
75149,深圳市宝励贸易有限公司
147612.45,深圳市优里生物科技有限公司
549,浙江天创信测通信科技有限公司
207848.44,深圳市深特工业气体有限公司
23672,深圳市麟望服饰有限公司
768,深圳市光明新区公明金达货架经营部
470,上海新百达制冷设备有限公司
34,上海妙进橡塑五金经营部
301,杭州科瑞电子有限公司
3800,广州市赛远机器人有限公司
64,乐清市霍尔德成套电气店
92,深圳市雷安盾电子科技有限公司
864.9,上海易熔焊割设备制造有限公司
34.38,深圳市伯瑞特紧固件有限公司
94179,山东维真生物科技有限公司
2049,天创恒达数字视频技术开（北京）有限公司
265438.74,明研生物（深圳）有限公司
791,上海缘江化工有限公司
450,苏州合仁源
69,上海傲澜贸易有限公司
595,广州锋伟生物科技有限公司
240.3,宁波江北甬旭橡胶有限公司
33283,捷欧迪拓姆（上海）贸易有限公司
25008.7,英维捷基（上海）贸易有限公司
5100,微纳科研实验器材
2716,深圳市安阳科技有限公司
1390,郑州雅盛电子科技有限公司
1000,罗微工业设计有限公司
2061,广州昊超电子商务有限公司
467.43,深圳市昌达盛电子有限公司
4140,广州粤港科艺仪器有限公司
10162.08,深圳市南山区给力电脑维修中心
72099.76,深圳市含生科技有限公司
3049.41,上海碧云天生物技术有限公司
70,深圳市宝安区新安吉美电子经营部
283.5,广州京鸿实验室设备有限公司
785.9,杭州亮牛五金机电有限公司
700,北京贝儿易杰生物科技有限公司
47.5,义乌品诺进出口有限公司
334772,深圳市博乐泰科技有限公司
1920,广州威佳科技有限公司
67130.8,广州皇河仪器科技有限公司
139173.34,深圳市伯纳材料科技有限公司
1261,深圳徇齐科技有限公司
2100,深圳市中智创新科技有限公司
8500,溧阳铭源仪器厂
165221.9,深圳欣博盛生物科技有限公司
19.8,上海市普陀区弘盛办公用品商店
5180,长富科技（北京）有限公司
1415.56,合肥萨隆动力机械有限公司
228,宜兴市和桥镇洪钧光学仪器经营部
25232,圣克鲁斯生物技术（上海）有限公司
32650,星紫新材料技术开发有限公司
77479,南京金斯瑞生物科技有限公司
2870,北京鑫恒奥生物科技有限公司
238,深圳市坪山新区金丰润滑油商行
14400,开封市嘉裕生物科技有限公司
28775,高新区枫桥罗丹贸易商行
3106.2,上海恭宝仪器贸易商行
40,深圳市龙岗区正兴隆五金行
545,上海时锡贸易有限公司
33551.4,深圳市南山区鑫倚天电子经营部
4180,易锐凯姆（北京）科技发展有限公司
7000,武汉纽瑞德特种气体有限公司
7200,南京-南京生物医药研究院
1900,深圳市恒通精密仪器有限公司
2361,天台蓝气球汽车用品有限公司
67197,深圳市德瑞新能源科技有限责任公司
124.9,四川文轩在线电子商务有限公司，江苏圆周电子商务有限公司
3464,上海競翀电子科技发展有限公司
508,连云港玥霖石英科技有限公司
286,宿迁硕居商贸有限公司
1300,上海德计商贸有限公司
3325.17,深圳市好质全实验室耗材有限公司
18172,深圳市龙跃科学仪器有限公司
56,上海家化电子商务有限公司
905,福州市鼓楼区精测测绘仪器经营部
695,南京温欧商贸有限公司
2042,海门市润吉实验器材经营部
32211,深圳市凌达生物科技有限公司
5665,上海速维生物科技有限公司
1770,深圳众为兴技术股份有限公司
1000,西安热默尔生物科技有限公司
280,北京欣熙源生物科技有限公司
346,东台市许河镇爱阳日杂商行
354.8,丫米实验办公专营店
31.6,上海亮朵实业有限公司
1130,佛山市安振环保设备有限公司
370,清河县明轩金属材料购销处
111.1,兴化市万仁不锈钢
23205,武汉市光米达科技有限公司
46297.04,索雷博
938,天津塞尔群科技有限公司
2500,苏州衍生生物科技有限公司
184740.3,南京诺唯赞生物科技有限公司
645,广州南医大实验动物科技发展有限公司
915,深圳市瑞捷特科技有限公司
58770,北京光盟光电科技有限公司
312,唐山众鑫缘电子商务有限公司
80037.34,广州泽元贸易有限公司
53172,深圳市宏峰建筑装饰工程有限公司
196.03,浙江卓廷建材有限公司
7075,深圳市彩染生物科技有限公司
5700,天津优品思创科技发展有限公司
8234.1,广州奈澈化学科技有限公司
588,上海汇赚全商贸有限公司
16820,丹阳市华诚土木工程仪器厂
7946,江苏东华测试技术股份有限公司
600,金坛区儒林海峰土木工程仪器材料经营部
430,廊坊丰悦建材有限公司
580,北京安伍科技有限公司
2012,杭州耐泽尔生物科技有限公司
1050,广州应变片商城
846.68,深圳市宏观盛电线电缆有限公司
33761.9,深圳市福田区赛格电子市场金硕源电子经营部
216,硕居家装建材专营店
65,汉顿
58,新越昌晖
45,好护士器械旗舰店
5520,深圳市光林通宇科技有限公司
600,深圳市蓓佳爱商贸有限公司
14780,佛山市南海大沥银亿汇石墨模具厂
119,深圳市金顿广营科技有限公司
55,东莞市晶鑫自动化科技有限公司
1565.5,荥阳市等静压模具有限公司
3519.31,京东自营
398,ergo旗舰店
1454.4,金百泽电子科技股份有限公司
110164.7,深圳赛格电子市场特佳电子经营部
356,广州瑞萌医疗器械有限公司
497.38,深圳市阿莫智能设备有限公司
336.4,深圳市昇润科技有限公司
363,东莞市御掌柜五金塑胶制品有限公司
31711.56,得捷电子（上海）有限公司
4841.7,北京科锐斯特材料技术有限公司
12702,苏州精密机械有限公司
80.78,温州市格立森贸易有限公司
216.1,青岛艾瑞泽电子商务有限公司
75,南京群光电子科技有限公司
4800,广州绿晶玻璃有限公司
11550,中国科学院沈阳科学仪器股份有限公司
28213.05,索雷博光电科技上海有限公司
68281,深圳市浸会科技有限公司
372.68,一站工材（常州）互联网科技有限公司
784.5,上海埃彼化学试剂有限公司
460.5,上海公牛电器有限公司
24115,益阳华南湘城科技有限公司
2952,南京迅恒数码科技有限公司
202,高新区千言数码产品经营部
86343.25,深圳市好佳实验室设备有限公司
356,得力
99,晶东
355.31,南京兴润生物技术有限公司
3717.01,深圳诺瓦智能科技有限公司
221.3,佛山市阿涅贸易有限公司
236,北京融合立盛科技有限公司
5250,深圳优胜生物技术有限公司
201481,天津泰然唯锐科技有限公司
179804,深圳市南山区赛格电子亿丰数码经营部
99346,深圳市前海科硕生物技术有限公司
2744,北京新兴百瑞技术有限公司
316.26,杭州利业科技有限公司
81,深圳市顶呱呱电子商务有限公司
532.09,苏州希杰贝尔静电科技有限公司
81,义乌市怀玲袜厂
595.77,安恒（文安县）电子商务有限公司
45863.28,合肥元晶科技材料有限公司
153124.21,深圳市智宇云科技有限公司
172,北京永邦广达商贸有限公司
915,最红电子
18632,深圳六碳科技有限公司
279,上海直乐电子商务有限公司
9137.33,江苏圆周电子商务有限公司广州分公司
39.9,上海诺迪信息科技有限公司
467.89,沈阳市艾特佳商贸有限责任公司
59.14,义务渺宇贸易有限公司
27360,上海波前仪器设备销售中心
130,都江堰市欣华益橡胶制品经营部
47725,武汉中科锐择光电科技有限公司
24800,广州铱星光电科技有限公司
17520,郑州英诺高科有限公司
1300,天津英科联合科技有限公司
73475.01,深圳君瑞汇科科技有限公司
400.2,古洛玻璃
40594,深圳市恒怿达生物科技有限公司
4185.28,宜家
379.3,百安居
79970,武汉优光科技有限责任公司
8188,北京康润诚业生物有限公司
1432,深圳柏万森生物贸易有限公司
6317.5,BD
35667,广州优钡生物科技有限公司
25482.5,深圳市研顺生物科技有限公司
941,吉尔森精密仪器（深圳）有现公司
99396,深圳市展芯科技有限公司
2560.27,Sigma
7400,中国电子科技集团公司第五十五研究所
7250,北京中元能环科技有限公司
540,深圳市新绿生物科技发展有限公司
11003,深圳市欣海陵生物科技有限公司
258,永康市腾牧商贸有限公司
1050,杭州五和五金机电有限公司
4000,北京瑞利君利科技发展有限公司
6500.06,上海派启自动化科技有限公司
3248,深圳市恒安鸿源磁科技有限公司
1865,泗洪辉腾医疗器械有限公司
810,江苏志威医疗器械有限公司
19050,深圳市南山区旺洋机械配件行
999,北京汇通兴业科技有限公司
3862,广州市讯益生物科技有限公司
2520,深圳市励知科技有限公司
400,东莞市雷望精密五金有限公司
850,泰州奥凌电子科技有限公司
35896,深圳市奥凌微波有限公司
2145,深圳市其芯科技有限公司
135274.99,深圳市恩科生物科技有限公司
1366,台州佐欣电机有限公司
1113.1,上海威洪实业中心
4621,上海澳宏金属制品有限公司
930,深圳市运事佳贸易有限公司
9967.6,深圳市赛格电子市场金得通经营部
1130.85,宁波市北仑区小港馨标机械厂
137.9,乐清市柳州米邦电气厂
139,东莞市石龙正科电子经营部
598,平阳客米电子商务有限公司
596.2,杭州南廷五金机电有限公司
1506,东台市五烈镇安鑫链轮厂
425.1,深圳市龙岗区龙岗宏发兴五金机电部
844,盐山豪锐五金机电销售处
990,兴化市奔强金属制品有限公司
544,龙华国税自助代开01-26
5277.15,深圳市南山区汇三联美术用品店
125,小耳朵电子科技有限公司乐清分公司
270,深圳市松岗国家税务局代开十一
490,郑州泰远仪器设备有限公司
1639,黑山县新立屯镇鑫德玛瑙商行
69.43,上海企文贸易有限公司
31,北京天资依美服装科技有限公司
329.6,福州陈师傅安全防护用品有限公司
1068.76,长沙市岳麓区展望实验器材商行
730,上海耕造家具有限公司
49080,江苏先丰纳米材料科技有限公司
