订单数量,供应商ID,供应商名称,联系人,联系电话
57,7520,深圳市杜奥科技有限公司,段彩云,13713840431
55,7527,深圳市化试科技有限公司,彭亮庆,0755-86654618，13713834834
62,7535,深圳市优里生物科技有限公司,李玉情,13006636686
123,7567,深圳市赛泰克生物科技有限公司,孙选台,18822022115
42,7572,深圳新瑞科仪生物技术有限公司,徐峰,18682087112
56,7601,广州市迅益生物科技有限公司,张文豪,15622873127
467,7603,深圳市益百顺科技有限公司,林明生,15712020206
3,7628,河南阿尔法化工有限公司,田东锋,13353808991
11,7639,深圳市昱杰生物科技有限公司,刘生,18520807816
7,7640,深圳市昱杰生物科技有限公司龙岗分公司,邓先生,18823737023
230,7644,上海泰坦科技股份有限公司,赵番林,13610022902
10,7645,深圳市南山区西丽昕天翔化玻仪器商行,彭俊达,15919972190
21,7651,北京西美杰科技有限公司,晏亚娜,13699091005
76,7658,深圳市昌泰化工科技有限公司,岳文波,13417532603
355,7665,萨恩化学技术（上海）有限公司,王帅,17727640936
194,7677,深圳莱伯生物科技有限公司,李琼,13631673065
82,7682,明研生物（深圳）有限公司,罗建烨,18028728579
3,7693,深圳市森科仪器仪表有限公司,李珍艳,18929385195
70,7698,深圳市森华实验设备有限公司,李珍艳,18929385195
8,7718,上海集奇生物科技有限公司,方青,021-54736159
9,7732,金艮生物科技（北京）有限公司,周建平,15810334601
53,7754,上海源叶生物科技有限公司,陈亚丽,13636371878
3,7763,北京博尔优生物技术有限公司,彭善兵,15210823451
18,7800,北京艾普希隆生物科技有限公司,晋玉宽,15652368422
23,7819,深圳中拓扑生物科技有限公司,樊超红,18928490758
122,7859,北京全式金生物技术有限公司,王廷菲,13810849312
92,7915,深圳市普笙乐科技有限公司,熊少红,13602628839
9,7918,深圳市伯纳材料科技有限公司,郭冰,13760404886
198,7936,深圳瑞真生物技术有限公司,乔晨晨,13824399016
98,7960,英潍捷基（上海）贸易有限公司,马启泰,18620900184
1,7972,四川省维克奇生物科技有限公司,白燕,13308200041
19,7994,深圳欣博盛生物科技有限公司,龙鱼,18566777408
51,8004,深圳市达科为生物技术股份有限公司,陈子豪,13025337699
6,8067,深圳华衡贸易有限公司,陈先生,18098979016
5,8077,东莞市贝斯特生物制品有限公司,刘丹,13713547642
81,8129,深圳市凯联生物技术有限公司,梁远金,18603029649
51,8144,上海百舜生物科技有限公司,朱立红,13162997331
1,8214,营口奥匹维特新能源科技有限公司,市场部,0417-6615300
16,8276,深圳市伽马科技发展有限公司,付晓丹,13714617034
18,8278,深圳市百纳生命科学有限公司,杨帆,13751064203
9,8292,益阳华南湘城科技有限公司,刘清华,15919646015
12,8305,深圳市万顺旭有限公司,孙瑞,18948757736
25,8306,深圳市研盟科技有限公司,林小慧,13332901653
15,8321,成都鼎胜时代科技有限公司,耿涛,13541035530
1,8332,深圳市诺辰生物科技有限公司,杨明辉,15876514735
9,8340,深圳艾维迪泰生物科技有限公司,许秋池,18938685773
64,8341,深圳市科普生物有限公司,康波,15914044871
75,8352,深圳市凯创生物科技有限公司,邱涵景,18823421207
134,8356,深圳市百胜科创生物科技有限公司,尹斌,13923474987
64,8370,深圳市华安天下科技有限公司,黄浦,18002527595
5,8382,上海谱幂精密仪器科技有限公司,白旭旭,13361837529
1,8385,深圳市实验狗信息科技有限公司,李祝梅,18938682695
52,8387,深圳市拜默森科学器材有限公司,樊超红,13632607462
2,8397,天津希恩思奥普德科技有限公司,张更彬,18526324820
56,8427,上海百赛生物技术股份有限公司广州分公司,柏勇,"0755-82250933  13480930044"
52,8470,南京诺唯赞生物科技有限公司,方丽旋,13922246297
1,8496,成都埃法生物科技有限公司,苟元明,19983342022
1,8515,深圳研顺生物科技有限公司,余素芳,13828846541
4,8599,深圳市嘉中蓝海实业有限公司,张优金,13424241976
1,8665,北京毕特博生物技术有限责任公司,张坤烽,13426363914
2,8770,南通飞宇生物科技有限公司,陈飞,13814659599
11,8810,海门市迪康实验仪器销售部,蔡建兵,13806288527
2,8839,南京牧科纳米科技有限公司,董文英,15380837896
17,8904,广州佰路生物科技有限公司,张康土,18826415764
41,8911,广州创伟生物科技有限公司,王艳,020-37653707
22,8914,广州赛哲科技有限公司,叶荣春,13602796892
113,8915,广州新晋生物科技有限公司,徐太勇,13825224201
2,8918,上海吉泰依科赛生物科技有限公司,周星宇,13524171491
370,8920,生工生物工程（上海）股份有限公司,冯柯,18917713658
4,8923,深圳市赛恩思生物科技有限公司,刘强,18948317843
219,8935,深圳市圳诚科技有限公司,曹永文,15013523631
32,8937,深圳安丰华生物科技有限公司,张玉琼,13537601872
59,8947,深圳市锐和生物科技有限公司,吴航,13510536047
7,8949,深圳康体生命科技有限公司,宋雪琴,18948134678
110,8951,深圳创兴科技有限公司,谭学舜,13828834759
68,8962,基因生物技术国际贸易（上海）有限公司广州分公司,何德峰,13310880129
8,8974,上海联迈生物工程有限公司,游燕,13916550749
3,8986,上海索实生物科技有限公司,马玉涛,021-64855665
1,8989,深圳市鹏锐科技有限公司,韩兆全,15920002568
147,8994,深圳市康贝科学仪器有限公司,苏雄,15013737416
163,9009,北京伊诺凯科技有限公司,林胜金,13719332156
60,9036,深圳柏万森生物科技有限公司,王世安,18938032445
4,9037,上海甄准生物科技有限公司,卢阿飞,18221195541
16,9057,深圳市博乐泰科技有限公司,刘海,13590153261
35,9077,深圳瑞景生物科技有限公司,梅友贤,18565247616
39,9160,深圳米思生物科技有限公司,陈晓东,13580543511
3,9195,深圳市美科美生物技术有限公司,潘保融,13602529403
1,9210,济宁天亿新材料有限公司,刘丽,15166719783
16,9238,深圳金普迈生物科技有限公司,张根,13559428815
2,9242,深圳科研生物科技有限公司,陈文升,13423777205
6,9288,西安瑞禧生物科技有限公司,秦芳,15029558077
19,9310,深圳市瑞沃德生命科技有限公司,肖晴,13631672797
8,9322,深圳市宝安区新安巴妮蔻科研服务中心,杨波,15976868623
1,9326,广州科服仪器有限公司,张政达,13600442013
16,9345,深圳市科美森生物科技有限公司,冯亚运,13631619245
2,9346,三人行医药科技（深圳）有限公司,姚兆辉,13925292012
149,9352,西格玛奥德里奇（上海）贸易有限公司,李超,18688838082
1,9392,深圳弋戈生物科技有限公司,曾诚,18503092714
2,9409,深圳市欣康生物技术有限公司,陆世家,18126328062
36,9426,深圳华尔康生物科技有限公司,何伟,13590149397
6,9447,深圳市莱博威科技有限公司,梅友贤,18565247616
3,9459,东仁化学科技（上海）有限公司,徐驰炜,15900522381
10,9486,深圳众庭联合科技有限公司南山分公司,张志庭,15813836116
13,9494,广州泽元贸易有限公司,毛素梅,18588805611
72,9523,深圳市佐科生物技术有限公司,王建军,13631532990
6,9540,北京康润诚业生物科技有限公司,李少珊,13751727624
5,9566,科创生物技术（深圳）有限责任公司,杨汉藩,13076916163
1,9597,上海润成生物科技有限公司,尹存明,13917938986
50,9602,深圳荣鑫生物科技有限公司,叶荣春,133531059390
5,9603,莱华尔科技(深圳)有限公司,丁柏钧,13825241256
2,9611,深圳华因康基因科技有限公司,邱泽薇,18589062126
100,9614,上海优宁维生物科技股份有限公司,梁艳欢,15002058238
78,9632,苏州吉玛基因股份有限公司,陈金清,13682535551
15,9636,金华市婺城区赛恩斯仪器仪表商行,刘逸,15657868628
3,9646,广州康昕瑞基因健康科技有限公司,李花,18688981009
74,9667,深圳市深特工业气体有限公司,"冼 国 森","0755-89810809   13714683483"
41,9673,深圳艾普诺生物医疗科技有限公司,黄鹏,18676399004
1,9692,深圳市福卫康生物科技有限公司,尹斌,13923474987
22,9703,深圳市标乐实业有限公司,王玉玲,18824587133
4,9726,深圳索维斯贸易有限公司,孙小翔,16675522528
40,9757,深圳四正柏生物科技有限公司,周兵,13530144996
23,9771,深圳市瑞捷特科技有限公司,严琴,13760481614
36,9781,江苏艾康生物医药研发有限公司,张红,18913364226
12,9816,广州表观生物科技有限公司,杨学敏,18613092800
10,9861,深圳莱菔生物科技有限公司,梁颖,18665678403
1,9883,上海集奇生物科技有限公司,方青,18616977605
25,9906,深圳市博奥康生物科技有限公司,石庆学,13632795122
6,9919,沃特世科技（上海）有限公司,邓瑞琴,021-61562618
3,9945,常州三泰科技有限公司,罗秦,0519-85150175-875
3,9950,深圳市嘉哲生物技术有限公司,李林峰,13826578448
2,9985,深圳市赛亚泰科仪器设备有限公司,黄刚,13352994958
20,10019,深圳天普生物科技有限公司,黄瀚龙,18688887548
6,10021,烟台诚诺硅胶有限公司,战兰兰,15153518875
4,10050,深圳市博诚生物科技有限公司,吴奇师,18566268926
18,10051,广州市锐博生物科技有限公司,贾长增,18028633156
153,10069,深圳市晟泰实验室设备有限公司,张成刚,18938910715
13,10084,广东烛光新能源科技有限公司,修倩,15024173087
1,10095,上海百千生物科技有限公司,王峰,15000038264
39,10101,昆山兮翀电子科技有限公司,周雪刚,18201901557
59,10112,深圳市百康科学仪器有限公司,苏雄,15013737416
1,10127,广州博奥派克科技有限公司,张炳文,13662519149
9,10166,深圳长欣生物科技有限公司,江生,13430515529
8,10178,深圳市万千科技有限公司,刘嘉宝,13760401053
5,10213,深圳市赛诚生物技术有限公司,陈凯,18670778106
9,10249,合肥博美生物科技有限责任公司第一分公司,余刘霞,13739298932
1,10344,武汉赛维尔生物科技有限公司,马莉,18086082935
6,10382,上海陶术生物科技有限公司,蔡子珏,18019718960
6,10392,深圳睿迅有机太阳能有限公司,艮文娟,13332973252
3,10407,深圳金谷气体有限公司,李鹏,18126199975
1,10442,广州思晋生物科技有限公司,劳宁,13760750763
3,10463,深特工业气体,宋启帅,13590289701
63,10507,深圳市康维德科技有限公司,苏雄,15013737416
8,10512,利安隆博华（天津）医药化学有限公司,杨海强,15302069025
49,10514,深圳市派奥德贸易有限公司,苏雄,15013737416
3,10519,深圳市爱培科技术股份有限公司,李福池,15017957438
3,10520,上海能升科学仪器有限公司,年鹏,18917874960
1,10524,深圳市兰贝特科技有限公司,Lee,18718560226
223,10531,深圳市研顺世纪贸易有限公司,余素芳,13828846541
1,10533,天根生化科技（北京）有限公司,李宁,18910083329
5,10535,上海谱色仪器设备销售中心,应中军,13917334172
7,10587,天津艾达恒晟科技发展有限公司,赵明,022-27452119
184,10592,北京欣维尔玻璃仪器有限公司,张金涛,18001327122
1,10607,深圳市达研生物科技有限公司,梁远金,13926553446
2,10613,深圳市云飞龙特种气体有限公司,黄源旺,13715117352
1,10624,北京诺禾致源科技股份有限公司,赵凯华,15899850409
1,10632,宁波博润新材料科技有限公司,张海红,0574-87297407
24,10635,深圳市译码生物科技有限公司,滕彩英,18126152159
2,10639,深圳凯米斯科技有限公司,肖志勤,0755-86647315
8,10644,广州赛库生物技术有限公司,秦庆添,020-89449936
7,10758,深圳市国康科技有限公司,周伟,15014081461
1,10787,北京五洲东方科技发展有限公司,巫代汉,13825206201
2,10791,上海南方模式生物科技股份有限公司,华汉威,13929199526
2,10907,武汉康昕瑞基因健康科技有限公司,杨玲玲,15899875660
7,10926,深圳市隆成科技有限公司,刘震涛,13760392963
19,10985,深圳翻羽生物科技有限公司,梁仁敏,18520160190
22,10999,深圳市力凡科技有限公司,卜武祥,18028770861
87,11036,深圳市瑞鑫生物科技有限公司,贾阿奇,15889658067
1,11039,深圳市浸会科技有限公司,刘涛,18718578473
12,11066,深圳智源达科技有限公司,刘攀,18520807816
4,11109,北京中腾科兴机械设备有限公司,武雪峰,18311296382
9,11114,深圳思为特生物科技有限公司,张玉琼,16675566625
3,11144,上海拓旸生物科技有限公司,段会燕,13524932310
3,11177,九焱科技（深圳）有限公司,马俊凤,13590225373
1,11179,广东光华科技股份有限公司,林志煌,13650742680
36,11181,深圳市海归生物技术有限公司,曹雯萱,13005402939
4,11207,上海安谱实验科技股份有限公司,宋书祥,13684990106
21,11221,北京索莱宝科技有限公司,李雪,010-56371250
1,11228,北京三石迈创科技有限公司,许永军,15501150030
1,11297,深圳市志胜化玻仪器有限公司,刘国雄,18929331988
1,11311,惠州市碧豚湾生物科技有限公司,高瑞瑞,18155873566
4,11349,深圳市睿沃森生物科技有限公司,王炜琼,15112564390
2,11380,上海垣熹生物科技有限公司,张红杰,021-58116080
1,11392,深圳市传承生物科技有限公司,杨林,13168061800
2,11429,深圳探真生物科技有限公司,李珊,13751727624
7,11431,北京华力德科技有限公司,王海英,18600110718
4,11484,合肥市包河区远创耗材经营部,张林,17625498715
3,11493,上海胤曦生物技术有限公司,杨迟,18602168417
1,11515,上海捷倍思基因技术有限公司,陈煜,13331996128
2,11525,深圳市恒怿达生物科技有限公司,陈小燕,13927481429
7,11540,深圳市思远达科学仪器有限公司,詹焯瞻,13560253869
99,11556,深圳市海雅生物科技有限公司,李琼,13631673065
3,11561,广州励德生物科技有限公司,陆胜凯,17688869078
13,11568,深圳市诺华斯生物科技有限公司,刘洪涛,15876514735
14,11625,深圳市凌达生物科技有限公司宝安分公司,石贤礼,13510621244
5,11640,深圳市文川实业有限公司,向祚明,13632781778
7,11670,安徽中盛溯源生物科技有限公司,王彩云,18701699981
31,11700,深圳贝塔生物技术有限公司,何伟,13590149397
4,11809,上海腾骞生物科技有限公司,段江丽,13681616114
197,11849,上海麦克林生化科技有限公司,赵为,18218184649
1,11852,南京群马生物技术有限公司,胡远兵,18694975266
3,11855,北京阿普瑞斯科技有限公司,张静,15311727578
1,11915,广州市标谱仪器有限公司,吴伟文,13480756503
1,11938,南京文达特种气体有限公司,董淑婷,13814118546
3,11962,天津诺禾致源生物信息科技有限公司,鞠勇志,19902095160
9,11989,长沙市创尔生物试剂经营部,罗晴燕,18807480084
4,11997,深圳市宏鑫璐环保科技有限公司,李厚发,13543323387
2,12012,上海扬瀚生物技术服务部,杨老师,02165878130
7,12030,深圳市博赛信科技有限公司,梅友贤,18565247616
1,12057,深圳市恒安乐盈贸易有限公司,陈家伟,13423777205
36,12075,深圳市东西分析仪器有限公司,欧,13530031662
2,12136,上海迪柯马分析技术有限公司,吴金亚,13701810486
1,12137,思诺卉实验室装备（上海）有限公司,李佩,13381502096
1,12181,深圳市麦贝莱科技有限公司,李树秀,13650704938
41,12205,深圳奥泰生物科技有限公司,刘永利,13751773442
5,12265,天津市西青区吉诺美刻实验仪器销售中心,王美凤,15066811801
1,12289,南京都莱生物技术有限公司,彭小军,18013301590
3,12315,上海科维创生物科技有限公司,郭俊平,13715335754
3,12317,深圳市诚达生物技术邮箱公司,曾诚,18503092714
14,12360,北京中金研新材料科技有限公司,高先生,13391919118
4,12398,深圳市深赛科学仪器有限公司,杨芳婧,18207647311
8,12435,深圳腾云驾雾干冰科技有限公司,曾敏,18898766657
1,12479,广州特克斯科学仪器有限公司,谭建斌,15986383094
2,12508,江苏酶免实业有限公司,白振萍,15061608254
1,12601,北京瑞达恒辉科技发展有限公司,曲女士,15201686515
10,12709,上海吉至生化科技有限公司,刘文军,18911710453
2,12719,上海吉凯基因科技有限公司,刘华权,13527703746
8,12733,深圳金斯达生物科技有限公司,陈晓东,13580543511
2,12785,北京华利世科技有限公司天竺分公司,冯钰,13910679882
3,12835,锘海生物科学仪器（上海）股份有限公司,唐碧云,18221083886
2,12877,广州世康生物科技有限公司,张小雅,020-36238596/13622850315
2,12878,深圳市盛航思科技有限公司,王先生,13662227544
2,12928,增城市和康贸易有限公司,林国宋,13760220992
3,12931,广州益晶生物科技有限公司,韩苗苗,18929535908
5,13008,广州皇河仪器科技有限公司,孙建诚,15907551650
1,13421,吉尔生化（上海）有限公司,汤超君,021-61263389
2,13594,深圳市南科仪器设备有限公司,梁国平,13714776370
1,13597,南京千鼎汇光电科技有限公司,朱巧慧,+8617351797832
36,13679,北京迈瑞达科技有限公司,张森,15070076628
13,13786,广州方源生物科技有限公司,李雾珠,020-85656313
5,13814,四川波特沃新科技有限公司,田波,18081222264
3,13822,广州捷倍斯科技有限公司,卢秀劲,13580467167
3,14004,深圳市贝特瑞科技有限公司,罗文兰,13823322297
1,14028,朔纶有机光电科技（北京）有限公司,李丹,01080707303
1,14047,广州伯信生物科技有限公司,申小青,13926104991
1,14342,广州祉鑫科学仪器有限公司,周向红,13924092309
5,14589,赛普默（天津）生物技术有限责任公司,李振盛,13539429944
5,14716,建湖县联华玻璃仪器厂,李正燕,13770217187
1,14723,武汉中科兴达楚新技术有限公司,雷呈利,13871070435
5,14730,西基（上海）生物科技有限公司,刘永利,13751773442
13,14845,深圳擎科生物技术有限公司,张超杰,13682461574
1,14973,广州晖鼎生物科技有限公司,杨先良,15813387466
6,15024,深圳市为真生物科技有限公司,郭晓艳,13421383141
7,15037,深圳市立鼎泰科技发展有限公司,刘卫东,18138401104
4,15058,广州宝润达生物科技有限公司,张小姐,13537601872
6,15237,广州聚研生物科技有限公司,王一飞,13632329521
2,15476,河南鱼齐玄商贸有限公司,吴闯,18620382137
2,15607,海门市顺通实验器材销售部,季利平,13861969908
1,15647,深圳众石科学仪器有限公司,姚明作,18566745230
4,15682,北京合生基因科技有限公司,刘艳,18518016522
3,15838,深圳市莹莹干冰制造有限公司,黄小红,13554983558
1,16184,上海九明贸易商行,曲林茂,15921410278
4,16189,天津易昂斯生物技术有限责任公司,李振盛,13539429944
2,16628,深圳市易恬技术有限公司,蒙兰超,13714959689
1,16632,杭州森歌科技有限公司,余勤,13588837325
1,16703,南京沃华生物科技有限公司,胡远兵,18694975266
2,17283,广州市轩永化工有限公司,尹丙波,18620330571
1,17689,深圳市汉星幻宇科技有限公司,"陈娟 ",18124035006
